ID,Date,Holiday,NEM,AFMA_NSW,AFMA_VIC,AFMA_SA,AFMA_QLD,AFMA_TAS,ASX_NSW,ASX_VIC,ASX_SA,ASX_QLD,Official_NSW,Official_VIC,Official_QLD,Official_TAS,Official_SA,Official_ACT,Official_WA,Official_NT
260,2016-10-20,Royal Hobart Show             ,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false
261,2016-11-01,Melbourne Cup Day             ,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false
262,2016-12-26,Christmas Day                 ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
263,2016-12-27,Boxing Day / Proclamation Day ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
264,2017-01-02,New Year's Day                ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
265,2017-01-26,Australia Day                 ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
266,2017-02-13,Royal Hobart Regatta          ,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false
267,2017-03-13,Eight Hours Day               ,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false
268,2017-03-13,Adelaide Cup Day              ,false,false,false,true,false,false,false,false,true,false,false,false,false,false,true,false,false,false
269,2017-03-13,Labour Day                    ,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false
270,2017-04-14,Good Friday                   ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
271,2017-04-17,Easter Monday                 ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
272,2017-04-25,ANZAC Day                     ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
298,2017-05-01,Labour Day                    ,false,false,false,false,true,false,false,false,false,true,false,false,true,false,false,false,false,false
304,2017-06-05,Western Australia Day         ,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false
273,2017-06-12,Queen's Birthday              ,false,true,true,true,false,true,true,true,true,true,true,true,false,true,true,false,false,false
307,2017-08-07,Picnic Day                    ,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true
274,2017-08-16,Royal Queensland Show Day     ,false,false,false,false,true,false,false,false,false,true,false,false,true,false,false,false,false,false
303,2017-09-25,Queen's Birthday              ,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false
309,2017-09-29,Grand Final Day Eve           ,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
